kinetic_energy,potential_energy,time
0.000000,-809.350692,0.000000
16.733031,-826.108646,0.010000
39.451710,-848.851149,0.020000
42.762838,-852.163448,0.030000
30.346755,-839.733153,0.040000
18.458716,-827.829282,0.050000
20.378961,-829.752657,0.060000
28.227715,-837.611637,0.070000
29.673970,-839.057913,0.080000
24.081312,-833.458214,0.090000
19.858661,-829.228315,0.100000
23.033577,-832.409092,0.110000
28.841568,-838.224920,0.120000
29.830656,-839.215618,0.130000
26.175229,-835.554599,0.140000
23.501807,-832.877142,0.150000
24.943969,-834.322547,0.160000
27.744372,-837.123653,0.170000
28.080850,-837.459345,0.180000
26.133355,-835.510197,0.190000
23.985001,-833.362058,0.200000
23.166457,-832.539556,0.210000
24.803744,-834.181738,0.220000
25.784566,-835.162809,0.230000
25.192026,-834.566219,0.240000
25.505149,-834.879395,0.250000
26.854909,-836.231062,0.260000
27.822964,-837.201559,0.270000
27.527381,-836.905405,0.280000
25.940014,-835.316014,0.290000
23.589388,-832.961010,0.300000
22.269297,-831.637473,0.310000
23.856122,-833.227149,0.320000
26.375373,-835.749237,0.330000
26.562235,-835.935576,0.340000
25.217879,-834.589184,0.350000
24.738746,-834.109995,0.360000
25.262972,-834.637555,0.370000
26.248324,-835.621070,0.380000
27.525891,-836.903996,0.390000
28.299997,-837.679139,0.400000
27.172620,-836.549475,0.410000
24.273184,-833.646188,0.420000
22.239080,-831.611135,0.430000
22.780466,-832.153756,0.440000
24.260734,-833.633541,0.450000
25.557403,-834.933371,0.460000
26.671269,-836.048621,0.470000
27.237918,-836.615310,0.480000
27.546651,-836.926035,0.490000
26.858398,-836.236445,0.500000
25.382927,-834.756261,0.510000
24.527449,-833.900341,0.520000
24.797237,-834.171599,0.530000
25.649729,-835.022506,0.540000
26.289784,-835.664602,0.550000
26.139869,-835.516893,0.560000
25.208301,-834.584104,0.570000
24.606032,-833.982613,0.580000
24.716435,-834.093535,0.590000
24.541639,-833.916775,0.600000
24.400262,-833.774423,0.610000
25.432779,-834.806335,0.620000
27.443465,-836.819723,0.630000
29.126171,-838.506394,0.640000
28.458247,-837.841554,0.650000
24.697798,-834.073077,0.660000
21.925695,-831.297300,0.670000
23.617598,-832.989666,0.680000
26.914255,-836.290435,0.690000
28.340306,-837.717266,0.700000
27.422651,-836.797906,0.710000
25.356501,-834.728227,0.720000
24.267171,-833.639226,0.730000
24.256057,-833.629637,0.740000
24.352795,-833.725755,0.750000
24.309259,-833.683367,0.760000
24.755949,-834.129921,0.770000
26.258908,-835.632365,0.780000
27.444015,-836.818070,0.790000
26.732034,-836.107927,0.800000
24.931652,-834.302924,0.810000
24.672630,-834.045983,0.820000
26.151636,-835.527969,0.830000
27.332312,-836.711162,0.840000
27.416186,-836.793830,0.850000
26.453728,-835.830851,0.860000
24.808952,-834.183656,0.870000
23.895916,-833.268632,0.880000
24.495228,-833.868959,0.890000
25.601409,-834.976174,0.900000
26.063385,-835.437308,0.910000
25.860032,-835.236463,0.920000
25.922576,-835.297569,0.930000
26.184945,-835.561354,0.940000
25.536523,-834.912918,0.950000
23.564036,-832.934606,0.960000
22.145454,-831.513833,0.970000
23.761091,-833.134574,0.980000
26.973766,-836.349312,0.990000
28.683302,-838.059128,1.000000
27.911828,-837.286928,1.010000
25.980903,-835.353702,1.020000
24.665430,-834.038401,1.030000
24.111310,-833.486424,1.040000
24.754183,-834.127451,1.050000
26.400793,-835.777014,1.060000
27.028588,-836.406293,1.070000
26.637707,-836.013047,1.080000
26.455185,-835.832496,1.090000
25.707632,-835.083218,1.100000
24.731780,-834.107746,1.110000
24.723906,-834.098132,1.120000
25.444726,-834.820682,1.130000
26.140034,-835.514802,1.140000
26.023980,-835.400362,1.150000
25.500027,-834.874079,1.160000
25.660798,-835.034418,1.170000
25.893361,-835.268596,1.180000
25.788923,-835.161940,1.190000
26.035296,-835.407995,1.200000
25.750758,-835.124048,1.210000
24.740940,-834.113975,1.220000
24.326460,-833.698045,1.230000
24.554155,-833.927866,1.240000
24.535147,-833.909895,1.250000
24.122585,-833.496909,1.260000
24.671481,-834.042763,1.270000
26.466419,-835.842042,1.280000
28.260299,-837.640759,1.290000
29.079345,-838.462336,1.300000
28.084326,-837.469231,1.310000
25.436210,-834.814334,1.320000
23.338599,-832.713003,1.330000
23.162377,-832.534761,1.340000
24.172060,-833.549029,1.350000
24.986293,-834.360318,1.360000
25.092162,-834.465698,1.370000
24.853149,-834.225380,1.380000
24.879802,-834.254390,1.390000
25.450887,-834.827623,1.400000
26.330616,-835.707560,1.410000
26.960460,-836.336216,1.420000
27.299212,-836.676384,1.430000
27.306513,-836.687066,1.440000
26.693547,-836.072446,1.450000
25.427681,-834.807464,1.460000
24.572213,-833.948255,1.470000
24.957564,-834.331175,1.480000
25.842104,-835.215312,1.490000
25.724236,-835.096557,1.500000
24.952442,-834.323527,1.510000
25.140382,-834.514872,1.520000
25.205862,-834.581783,1.530000
23.890450,-833.264142,1.540000
23.091951,-832.464090,1.550000
24.127723,-833.500093,1.560000
25.556849,-834.931371,1.570000
26.242733,-835.617105,1.580000
26.935363,-836.312241,1.590000
28.168971,-837.548324,1.600000
28.384163,-837.763688,1.610000
26.836947,-836.216017,1.620000
24.988747,-834.363554,1.630000
24.785749,-834.159901,1.640000
25.789625,-835.165555,1.650000
25.382221,-834.755945,1.660000
23.666232,-833.036291,1.670000
23.143179,-832.514984,1.680000
24.469726,-833.842018,1.690000
25.765415,-835.137353,1.700000
25.885839,-835.257543,1.710000
26.137717,-835.510700,1.720000
26.694012,-836.070264,1.730000
26.606596,-835.983136,1.740000
25.606055,-834.980559,1.750000
24.746671,-834.120688,1.760000
25.122045,-834.495534,1.770000
25.939302,-835.314351,1.780000
26.633032,-836.008385,1.790000
26.956184,-836.331434,1.800000
26.554358,-835.929483,1.810000
25.418937,-834.794601,1.820000
24.135131,-833.509653,1.830000
23.879716,-833.252622,1.840000
25.075189,-834.447994,1.850000
26.607496,-835.983275,1.860000
27.168321,-836.542910,1.870000
26.969948,-836.347777,1.880000
26.647312,-836.024371,1.890000
25.920339,-835.295024,1.900000
24.648766,-834.022823,1.910000
23.881896,-833.255432,1.920000
24.622403,-833.996208,1.930000
25.195980,-834.571911,1.940000
24.873301,-834.249273,1.950000
25.754803,-835.131159,1.960000
27.329213,-836.707238,1.970000
27.145098,-836.520064,1.980000
25.529425,-834.902245,1.990000
25.015002,-834.389655,2.000000
25.665005,-835.042904,2.010000
25.291227,-834.669602,2.020000
24.803270,-834.178402,2.030000
25.611464,-834.987660,2.040000
26.253468,-835.625875,2.050000
25.996875,-835.372022,2.060000
25.842402,-835.221166,2.070000
26.215813,-835.595762,2.080000
26.374586,-835.752863,2.090000
26.021319,-835.398037,2.100000
25.890080,-835.264226,2.110000
25.504581,-834.881692,2.120000
24.063451,-833.438370,2.130000
