kinetic_energy,potential_energy,time
0.000000,-806.108585,0.000000
19.312323,-834.289250,0.200000
19.246732,-831.028123,0.400000
22.069705,-832.176021,0.600000
23.032780,-831.826660,0.800000
24.183342,-830.609731,1.000000
26.703518,-828.112355,1.200000
31.803529,-819.013505,1.400000
138481.270045,3110.923131,1.600000
1673540.567461,2439.367118,1.800000
2603836.481631,2880.726705,2.000000
4352023.251269,2392.041802,2.200000
5512171.954746,2470.678096,2.400000
7491287.411005,2365.838155,2.600000
8811195.743251,2506.572926,2.800000
10836715.224493,2556.702716,3.000000
11855699.896262,2427.785428,3.200000
12507237.400330,2905.371709,3.400000
16222430.927620,2382.560501,3.600000
16773816.082005,2608.799082,3.800000
17360995.695124,2494.480085,4.000000
18269646.906730,2800.002905,4.200000
19062563.337630,2280.451584,4.400000
19601618.694116,2451.503124,4.600000
20132559.274346,2662.826120,4.800000
26905379.860415,2153.832705,5.000000
27609244.625343,2414.606676,5.200000
29691034.783771,2490.375492,5.400000
30531987.983983,2440.638311,5.600000
31505447.661677,2473.696039,5.800000
32556748.633863,2111.680443,6.000000
34562261.120015,2386.382829,6.200000
35221829.291750,2480.142728,6.400000
35501174.888657,2147.296525,6.600000
35953517.021561,2770.539926,6.800000
36535788.513295,2617.331629,7.000000
37457279.034185,2541.858567,7.200000
39524542.982174,2265.583736,7.400000
40235387.760251,2893.467415,7.600000
41802071.238531,2467.601401,7.800000
42938767.300073,2447.520217,8.000000
43674833.913834,2221.392973,8.200000
44062464.707692,2409.370528,8.400000
45080935.159455,2336.829228,8.600000
46022427.896681,2049.692304,8.800000
46162665.927237,2438.628405,9.000000
47439391.325913,2573.033839,9.200000
48769006.735431,3202.911006,9.400000
49606091.761969,2488.443927,9.600000
50508978.394986,2160.798278,9.800000
51625652.884981,2657.451358,10.000000
52017552.556065,2414.317643,10.200000
52011946.845481,2874.703961,10.400000
52736557.667378,2158.138509,10.600000
54440760.508330,2545.408787,10.800000
55158039.726661,2156.295662,11.000000
55933554.285361,2756.829479,11.200000
57442527.323567,2608.638076,11.400000
57875909.909904,3066.684132,11.600000
60441917.709598,2913.246230,11.800000
61313465.591238,2012.514172,12.000000
61491975.434502,2708.370243,12.200000
65395017.525765,2161.460017,12.400000
65968779.333726,2722.870485,12.600000
66443978.114632,2404.226039,12.800000
67398436.779388,2213.256847,13.000000
68852701.491569,3031.058212,13.200000
70708139.903558,2177.660930,13.400000
71563920.150418,2717.792850,13.600000
72683928.843781,2757.321237,13.800000
74269515.957512,2697.742683,14.000000
76106744.667865,3014.522685,14.200000
77426921.834904,2574.245835,14.400000
79076102.766124,2023.487014,14.600000
81050536.650739,2810.111661,14.800000
82180318.097882,2369.879794,15.000000
81907424.660748,2800.683770,15.200000
82598335.732305,2139.855168,15.400000
87624667.236159,3191.537646,15.600000
88480412.830481,2486.169215,15.800000
91776498.007469,2090.563803,16.000000
93211023.510980,3104.443121,16.200000
96174881.944022,2062.265340,16.400000
96884770.314036,2354.569774,16.600000
97701846.244170,2524.391931,16.800000
97185474.186168,1991.002982,17.000000
98281308.960014,2487.906097,17.200000
99673338.294846,2878.264206,17.400000
105491245.810202,2375.097175,17.600000
105847625.932669,2597.806223,17.800000
107311566.144389,2448.152759,18.000000
107547476.577250,2455.825720,18.200000
109190893.415499,2996.241977,18.400000
109059755.981487,2321.366155,18.600000
109068956.417379,2344.913364,18.800000
109898460.638432,2423.922496,19.000000
111461810.560029,2956.588608,19.200000
111570493.435668,2473.566510,19.400000
112591106.751000,2453.422462,19.600000
113367462.975380,1905.782305,19.800000
112865901.486855,2295.180650,20.000000
121957214.751798,2528.547384,20.200000
122943792.370060,2189.769601,20.400000
124072684.353800,2403.646581,20.600000
127666723.892900,2688.771976,20.800000
129124128.460557,2348.381851,21.000000
130124426.090455,2357.762343,21.200000
131334664.112056,2700.224920,21.400000
134134266.014758,2380.242864,21.600000
134035786.620997,2301.162131,21.800000
135445130.693162,3664.995770,22.000000
138246633.584245,2338.647842,22.200000
138943559.857994,2374.318681,22.400000
140363879.039340,2746.765223,22.600000
140791702.383778,3337.889400,22.800000
142137443.191091,2671.869615,23.000000
145499342.255912,3522.549814,23.200000
148391378.982920,2385.274281,23.400000
147707274.096765,2412.689783,23.600000
148583193.945724,2769.776186,23.800000
148720369.348787,2244.590052,24.000000
148143709.662524,2576.831588,24.200000
149640616.778371,1839.440874,24.400000
150071577.948855,2434.262212,24.600000
150023693.098819,2125.345079,24.800000
150651360.288401,2637.807464,25.000000
150723652.755379,2895.510817,25.200000
151274410.414307,3115.654561,25.400000
152073474.935852,2410.533173,25.600000
152139831.865642,2380.554802,25.800000
151895921.160599,2493.179107,26.000000
