x,y,z
1.000160,-0.480303,2.139727
-4.179891,-4.951452,-6.627934
-4.324580,2.334227,5.653271
1.503015,-4.918988,1.528978
4.082605,-2.810286,-5.999031
-1.631880,0.075983,-3.070863
3.369877,-2.562933,-5.106518
-0.745236,-0.568242,-2.202165
3.375483,-2.519944,3.040058
-0.756920,-2.046799,-7.728729
1.452561,5.876273,4.189478
4.006159,-1.484013,-5.151791
-5.253397,-2.168926,5.675846
5.691280,2.146243,-8.543962
-0.267889,8.918691,1.798726
-0.238798,-3.521281,-3.188072
1.162371,-3.168503,-2.053329
0.494390,-2.533469,3.072797
4.649455,-2.745559,4.003858
2.650611,1.268970,-3.090187
7.737473,-1.993510,3.482398
-1.674477,-2.033677,3.835596
-3.617113,-2.149628,-2.023788
-6.018729,-1.551755,2.740835
-3.179069,-5.402120,2.049738
0.096350,-2.966349,-3.197064
0.912254,-1.203299,-0.802811
1.015465,1.037796,-4.301895
-3.930469,4.273553,6.444365
1.212112,-1.766646,-0.189139
0.370260,-7.724511,0.805364
-0.311979,-10.275204,-4.472014
5.263539,2.469416,3.360518
-3.247162,1.738051,-5.640518
3.779060,-1.616939,-1.144302
3.841136,-2.128651,1.872804
-1.317394,-2.360510,1.447943
-3.811259,2.071054,-0.825142
6.211991,-4.760515,1.578408
3.451649,3.277425,2.185394
-5.004511,-0.698826,2.980774
-3.894788,-2.448448,-0.758925
-4.655429,-1.286136,0.602428
-2.395295,-4.139374,-7.198947
-2.562183,11.161978,4.122015
-1.126676,-5.129879,-7.252629
-1.509545,-3.493890,2.171639
1.419740,-2.392505,6.821330
-2.656477,-4.121906,-4.421094
-3.622948,5.054442,2.657675
-8.583937,-5.176380,-4.201137
-0.798915,1.095632,-2.526093
6.615635,-0.223944,3.287679
-6.503353,-6.704297,0.317326
2.024624,4.941929,2.990819
-0.694061,-5.110159,-8.374085
3.253425,-1.629875,1.750150
5.440297,-8.563050,-0.407388
1.794112,7.294981,-4.811455
-5.533282,-1.093900,-1.622496
2.974116,-8.863411,-3.869944
5.462747,0.284175,-7.382852
