x,y,z
8.201447,8.099750,12.397139
12.476778,8.040965,12.465464
2.168664,10.243825,12.046660
5.945840,10.248381,12.029185
10.044992,9.977059,12.265770
14.227444,10.363340,12.089834
-0.107617,12.341106,12.270413
3.973042,12.204748,12.120256
7.771681,12.148548,12.010325
12.156272,12.213829,12.406841
1.957183,14.191273,12.133014
6.075646,14.183767,12.039252
10.472581,14.176200,12.276498
14.242093,14.354384,12.393168
1.827255,-0.038363,14.284097
6.156535,-0.100537,14.125680
10.003080,-0.025376,14.224566
14.357312,-0.004783,14.306996
0.046946,1.869179,14.296835
3.967586,2.058981,14.252352
8.112709,1.861190,14.233493
12.191484,1.782915,14.196443
2.032394,4.076183,14.339312
6.144565,3.886344,14.258024
10.309154,3.929366,14.176436
14.245255,3.859290,14.422599
0.026739,6.120698,14.269786
4.168723,5.992195,14.162728
8.236554,6.154496,14.154376
12.448026,5.902960,14.360654
1.962408,8.262313,14.218506
6.188930,7.949171,14.204892
10.187941,8.221430,14.354429
14.404826,8.194980,14.232641
0.091879,10.237238,13.957163
4.262506,10.047041,14.014129
7.862480,10.293594,14.127971
12.139673,10.166948,14.409996
2.150474,12.316752,13.965670
5.881330,12.185147,14.343062
10.029089,11.881093,14.310007
14.124716,12.200996,14.339155
-0.113892,14.218443,14.354893
4.097109,14.274455,14.084031
8.129734,13.954197,14.084649
12.123567,13.977575,14.483939
