x,y,z
2.859836,-3.720995,5.765104
4.175735,-3.970853,0.478344
5.539941,-1.705466,-3.470258
2.944351,-2.624134,-0.233445
-3.760724,-2.834513,2.007985
2.143439,-0.268309,3.354165
10.016680,2.617266,4.420582
-6.592908,0.842965,2.612128
-0.150839,-3.409691,-3.841914
6.880671,-0.923585,-2.593845
6.205336,-5.595685,-1.525825
12.174748,7.110492,2.241310
-3.186164,3.911160,-0.037124
1.703907,5.170114,-4.528693
3.442451,-9.092400,0.991368
8.069993,3.586181,-2.075905
-7.334086,0.105352,1.333869
1.894075,-1.121971,0.636438
4.423622,-6.498670,-0.946563
-0.430725,0.673103,4.747135
-0.450810,0.123519,3.225904
2.545246,-0.502112,1.955203
-0.752214,-0.851001,-2.394152
4.386319,-1.786355,3.755900
1.560115,-5.943111,-7.695672
-2.359498,0.400710,-1.504958
-2.668507,-6.212095,0.505618
-8.099393,9.169042,-6.517306
2.091323,-0.492609,-3.640217
-6.592312,-2.918720,-10.232993
7.295021,0.078295,-0.292869
-3.853225,0.775552,-3.958503
0.060912,-3.497045,-2.511906
0.285343,3.270241,2.902388
-2.323875,-8.503778,-6.881880
3.048723,3.613271,2.971317
1.341777,-5.880896,-3.076193
1.686383,-7.053527,1.927181
5.133452,0.048639,6.123823
1.426734,4.846954,-0.299417
-2.963191,-0.914143,1.429768
11.266621,-5.163131,1.054634
-7.642563,0.301665,-2.060630
5.322373,-2.340924,0.397877
3.871648,-0.974206,-3.208172
-1.433444,1.619686,-4.780334
3.512384,0.687773,2.462677
-7.637156,-5.142082,1.697957
1.791195,-9.253912,-8.300722
-3.634956,4.528555,5.236959
0.679702,2.639273,6.420836
7.837304,-0.732894,-4.341632
5.270795,4.310270,3.513155
0.386860,0.939465,7.002192
-2.659557,3.001002,2.053296
5.710528,2.289572,-0.771589
-2.925718,-5.779302,-4.805030
2.688542,6.881034,-7.708594
-0.562194,5.006336,3.616832
2.957145,5.161964,-2.050850
-7.950540,3.720656,-1.459401
-6.729682,1.895580,1.624628
-1.875091,-2.798334,6.419434
