x,y,z
-2.161663,-2.749613,-5.335036
-1.655210,0.396522,-3.904641
8.035060,-2.782650,-5.001756
2.256672,1.386165,6.141885
-0.354655,1.593075,0.768185
-0.863805,3.773222,-10.307965
-0.525072,0.588149,6.605455
-2.419645,-2.934277,1.462137
-0.016123,6.129355,0.378111
-0.717050,-1.518513,6.463142
-6.274811,-4.042374,1.181201
-0.980260,-4.787658,-0.728318
5.710398,-5.749365,4.471570
2.563933,-6.185112,2.805995
-3.339414,-2.873044,1.289259
3.412536,3.942386,1.204911
0.274288,1.033710,0.777196
-0.655025,-3.278043,0.874645
0.442882,0.798572,-2.532010
8.058389,-4.743598,1.681897
-1.784636,-6.807710,-3.691532
2.438010,3.114378,-0.153329
-4.750073,-5.741409,-7.357261
2.040946,2.227512,-5.036519
-1.836952,3.359605,0.590725
0.777861,0.770746,3.035845
6.729514,7.470744,8.163768
-7.502530,-3.153183,-4.421727
-1.326585,-11.345645,4.730021
0.325992,2.632228,-3.835807
-3.218289,1.267355,5.037212
1.945718,0.490592,10.273392
6.997882,-0.366495,-5.797144
1.205009,-0.393210,-0.913743
1.986770,2.369377,-4.238287
-3.602135,0.918635,5.873773
-1.372763,3.793365,10.346246
-0.289498,-0.640102,-3.712234
-6.611267,-6.508127,1.913725
-0.224777,3.535260,3.292076
-0.030938,1.319134,-0.610219
-2.272010,-1.477377,-5.514272
-1.759199,-3.086965,-3.332172
1.882046,2.984091,-2.540386
-1.052147,-3.700488,-0.154821
-4.644942,4.333839,-3.249063
2.054767,-1.645657,-1.761273
4.962296,1.159621,3.975417
-9.223802,-3.366720,-8.319753
1.138821,0.706418,4.135765
-0.089920,0.600660,4.303677
-3.011892,-1.572241,3.495177
6.970758,-1.994652,1.199665
-3.598124,0.554098,-2.802856
0.940869,-0.804136,3.885041
-5.738999,10.094685,0.108381
2.743450,-2.064071,3.071520
-1.849572,-1.809047,-0.210471
0.643692,-5.056307,1.543024
-0.796624,3.208600,-2.038447
-9.415168,-2.919735,-3.686442
-4.134900,1.731514,1.875639
6.175720,-1.572762,0.161488
-5.672728,1.401556,5.755353
-10.817908,-2.949944,0.965204
-6.998966,-0.186564,2.680858
5.233810,-7.502130,1.745238
0.902914,1.534851,5.696437
2.689573,2.133250,4.015792
1.304315,-1.164818,1.857757
-0.580950,-6.037213,1.247419
-9.179034,-0.984017,1.809067
-3.456205,-1.228437,-3.053265
-8.988492,-6.192488,8.612635
-5.862105,-2.658556,2.110837
-0.465798,-1.329859,-3.906631
-6.663734,-4.238261,-8.606728
5.231032,-5.710095,-1.170236
5.328307,-2.671041,-0.430298
3.278763,-2.621485,0.589581
