U_kin,U_pot,timesteps
5.971352,26.029237,21.200000
6.210437,25.790147,21.300000
6.453068,25.547511,21.400000
6.699157,25.301416,21.500000
6.948615,25.051953,21.600000
7.201351,24.799210,21.700000
7.457276,24.543280,21.800000
7.716294,24.284256,21.900000
7.978313,24.022231,22.000000
8.243238,23.757300,22.100000
8.510973,23.489559,22.200000
8.781421,23.219105,22.300000
9.054483,22.946036,22.400000
9.330061,22.670452,22.500000
9.608056,22.392451,22.600000
9.888366,22.112135,22.700000
10.170889,21.829605,22.800000
10.455525,21.544963,22.900000
10.742168,21.258313,23.000000
11.030717,20.969758,23.100000
11.321065,20.679403,23.200000
11.613108,20.387353,23.300000
11.906740,20.093714,23.400000
12.201856,19.798593,23.500000
12.498346,19.502095,23.600000
12.796106,19.204329,23.700000
13.095026,18.905402,23.800000
13.394998,18.605423,23.900000
13.695914,18.304501,24.000000
13.997664,18.002744,24.100000
14.300140,17.700261,24.200000
14.603231,17.397163,24.300000
14.906829,17.093558,24.400000
15.210822,16.789558,24.500000
15.515102,16.485272,24.600000
15.819557,16.180810,24.700000
16.124077,15.876283,24.800000
16.428552,15.571800,24.900000
